Date,Price,Open,High,Low,Vol.
09-18-2019,"23,209.00","23,217.50","23,230.00","23,208.50",0.02K
09-17-2019,"23,225.00","23,225.00","23,231.00","23,219.00",0.02K
09-16-2019,"23,218.00","23,215.00","23,222.50","23,213.00",0.02K
09-13-2019,"23,205.00","23,215.00","23,221.50","23,206.00",0.02K
09-12-2019,"23,205.00","23,200.50","23,211.50","23,199.00",0.02K
09-11-2019,"23,199.00","23,199.50","23,204.00","23,196.00",0.04K
09-10-2019,"23,199.00","23,197.00","23,202.00","23,196.00",0.01K
09-09-2019,"23,199.00","23,195.00","23,202.50","23,195.00",0.02K
09-06-2019,"23,198.00","23,195.00","23,202.00","23,194.00",0.02K
09-05-2019,"23,198.00","23,197.50","23,206.00","23,196.00",0.02K
09-04-2019,"23,199.00","23,199.00","23,202.50","23,194.00",0.01K
09-03-2019,"23,198.00","23,186.00","23,203.00","23,186.00",0.02K
09-02-2019,"23,185.00","23,185.00","23,185.00","23,185.00",
08-30-2019,"23,185.00","23,203.00","23,204.00","23,183.50",0.02K
08-29-2019,"23,195.00","23,203.00","23,208.50","23,195.50",0.02K
08-28-2019,"23,206.00","23,205.00","23,212.00","23,197.50",0.02K
08-27-2019,"23,197.00","23,202.50","23,205.50","23,196.50",0.02K
08-26-2019,"23,198.00","23,217.50","23,217.50","23,196.50",0.02K
08-23-2019,"23,198.00","23,201.00","23,212.50","23,195.00",0.03K
08-22-2019,"23,200.00","23,205.00","23,211.50","23,199.50",0.02K
08-21-2019,"23,200.00","23,202.50","23,211.50","23,201.00",0.02K
08-20-2019,"23,203.00","23,209.00","23,214.00","23,200.00",0.05K
08-19-2019,"23,205.00","23,215.00","23,217.00","23,206.00",0.02K
08-16-2019,"23,211.00","23,206.00","23,217.50","23,206.00",0.02K
08-15-2019,"23,208.00","23,209.00","23,209.50","23,203.50",0.02K
08-14-2019,"23,200.00","23,202.50","23,212.50","23,199.00",0.02K
08-13-2019,"23,205.00","23,203.50","23,208.00","23,199.00",0.02K
08-12-2019,"23,197.00","23,201.00","23,252.00","23,197.50",0.02K
08-09-2019,"23,204.00","23,204.00","23,215.00","23,199.50",0.02K
08-08-2019,"23,220.00","23,220.00","23,242.50","23,208.50",0.02K
08-07-2019,"23,215.00","23,215.00","23,264.50","23,213.00",0.02K
08-06-2019,"23,250.00","23,280.00","23,292.50","23,249.00",0.02K
08-05-2019,"23,268.00","23,230.00","23,280.50","23,223.00",0.04K
08-02-2019,"23,215.00","23,216.50","23,236.00","23,205.00",0.02K
08-01-2019,"23,200.00","23,205.00","23,222.50","23,199.00",0.01K
07-31-2019,"23,230.00","23,201.00","23,232.50","23,198.50",0.01K
07-30-2019,"23,200.00","23,201.50","23,216.00","23,200.50",0.02K
07-29-2019,"23,205.00","23,211.00","23,217.50","23,208.50",0.02K
07-26-2019,"23,205.00","23,208.00","23,216.50","23,203.50",0.04K
07-25-2019,"23,209.00","23,210.50","23,213.00","23,201.50",0.09K
07-24-2019,"23,205.00","23,217.00","23,224.50","23,208.50",0.04K
07-23-2019,"23,209.00","23,241.00","23,251.00","23,206.50",0.14K
07-22-2019,"23,211.00","23,216.00","23,246.00","23,210.00",0.12K
07-19-2019,"23,244.00","23,242.00","23,250.50","23,199.50",0.01K
07-18-2019,"23,214.00","23,216.00","23,222.50","23,202.50",0.02K
07-17-2019,"23,200.00","23,185.00","23,204.00","23,185.00",0.02K
07-16-2019,"23,200.00","23,195.00","23,202.50","23,195.00",0.01K
07-15-2019,"23,199.00","23,198.00","23,206.00","23,185.00",0.02K
07-12-2019,"23,200.00","23,192.50","23,205.00","23,192.50",0.02K
07-11-2019,"23,200.00","23,225.00","23,237.50","23,197.50",0.02K
07-10-2019,"23,210.00","23,216.00","23,245.00","23,212.50",0.02K
07-09-2019,"23,220.00","23,252.50","23,252.50","23,225.50",0.02K
07-08-2019,"23,245.00","23,240.00","23,252.50","23,235.00",0.02K
07-05-2019,"23,235.00","23,248.00","23,248.50","23,235.00",0.02K
07-04-2019,"23,240.00","23,243.00","23,254.50","23,215.00",0.02K
07-03-2019,"23,245.00","23,227.50","23,250.00","23,225.00",0.02K
07-02-2019,"23,230.00","23,275.00","23,275.00","23,228.50",0.03K
07-01-2019,"23,250.00","23,316.00","23,316.00","23,250.00",0.03K
06-28-2019,"23,300.00","23,310.00","23,319.00","23,287.00",0.03K
06-27-2019,"23,310.00","23,305.00","23,335.00","23,305.00",0.06K
06-26-2019,"23,300.00","23,301.00","23,325.00","23,288.00",0.02K
06-25-2019,"23,296.00","23,290.50","23,307.50","23,286.00",0.02K
06-24-2019,"23,286.00","23,291.50","23,302.50","23,282.50",0.02K
06-21-2019,"23,280.00","23,295.00","23,312.50","23,285.00",0.02K
06-20-2019,"23,295.00","23,310.00","23,315.00","23,295.00",0.02K
06-19-2019,"23,315.00","23,330.00","23,342.00","23,297.00",0.09K
06-18-2019,"23,335.00","23,332.50","23,351.50","23,322.50",0.14K
06-17-2019,"23,345.00","23,324.00","23,372.50","23,324.00",0.02K
06-14-2019,"23,330.00","23,332.50","23,335.00","23,316.50",0.02K
06-13-2019,"23,310.00","23,347.50","23,350.00","23,312.00",0.02K
06-12-2019,"23,315.00","23,332.00","23,350.00","23,320.00",0.02K
06-11-2019,"23,337.00","23,381.50","23,381.50","23,340.00",0.02K
06-10-2019,"23,360.00","23,393.50","23,421.50","23,357.00",0.02K
06-07-2019,"23,395.00","23,406.00","23,412.50","23,387.00",0.22K
06-06-2019,"23,402.00","23,407.00","23,421.50","23,392.50",0.14K
06-05-2019,"23,412.00","23,406.00","23,417.50","23,406.00",0.02K
06-04-2019,"23,395.00","23,405.00","23,410.00","23,393.00",0.02K
06-03-2019,"23,393.00","23,415.50","23,419.50","23,390.00",0.03K
05-31-2019,"23,410.00","23,419.50","23,421.50","23,409.50",0.03K
05-30-2019,"23,415.00","23,405.00","23,422.50","23,405.00",0.02K
05-29-2019,"23,406.00","23,397.50","23,416.00","23,395.00",0.02K
05-28-2019,"23,392.00","23,397.50","23,401.50","23,385.00",0.02K
05-27-2019,"23,386.00","23,396.50","23,402.50","23,383.00",0.02K
05-24-2019,"23,380.00","23,392.50","23,403.50","23,375.00",0.02K
05-23-2019,"23,388.00","23,388.50","23,389.50","23,375.00",0.02K
05-22-2019,"23,370.00","23,407.50","23,407.50","23,375.00",0.02K
05-21-2019,"23,390.00","23,402.50","23,407.50","23,380.00",0.02K
05-20-2019,"23,400.00","23,407.50","23,437.50","23,390.00",0.01K
05-17-2019,"23,388.00","23,332.50","23,401.00","23,332.50",0.01K
05-16-2019,"23,300.00","23,342.50","23,343.50","23,277.50",0.02K
05-15-2019,"23,300.00","23,340.00","23,360.50","23,297.50",0.02K
05-14-2019,"23,375.00","23,368.00","23,382.50","23,352.50",0.02K
05-13-2019,"23,325.00","23,350.00","23,375.00","23,305.00",0.02K
05-10-2019,"23,345.00","23,395.00","23,397.50","23,342.50",0.01K
05-09-2019,"23,380.00","23,375.00","23,410.00","23,372.50",0.02K
05-08-2019,"23,365.00","23,295.00","23,395.50","23,295.00",0.03K
05-07-2019,"23,290.00","23,295.00","23,347.00","23,295.00",0.02K
05-06-2019,"23,280.00","23,265.00","23,302.50","23,265.00",0.01K
05-03-2019,"23,249.00","23,255.50","23,270.00","23,251.50",0.02K
05-02-2019,"23,260.00","23,265.00","23,266.00","23,252.00",0.02K
05-01-2019,"23,285.00","23,285.00","23,285.00","23,285.00",
04-30-2019,"23,285.00","23,285.00","23,285.00","23,285.00",
04-29-2019,"23,285.00","23,285.00","23,285.00","23,285.00",
04-26-2019,"23,285.00","23,221.50","23,291.00","23,221.50",0.02K
04-25-2019,"23,215.00","23,222.50","23,269.00","23,220.00",0.02K
04-24-2019,"23,215.00","23,222.50","23,226.00","23,214.00",0.02K
04-23-2019,"23,210.00","23,210.00","23,222.50","23,210.00",0.02K
04-22-2019,"23,218.00","23,206.00","23,219.00","23,206.00",0.02K
04-19-2019,"23,210.00","23,212.50","23,213.00","23,201.00",0.02K
04-18-2019,"23,203.00","23,204.00","23,204.00","23,199.00",0.01K
04-17-2019,"23,198.00","23,197.00","23,202.50","23,196.00",0.02K
04-16-2019,"23,199.00","23,199.50","23,205.00","23,197.50",0.02K
04-15-2019,"23,199.00","23,199.00","23,199.00","23,199.00",
04-12-2019,"23,199.00","23,200.50","23,201.00","23,195.00",0.02K
04-11-2019,"23,196.00","23,196.00","23,201.50","23,195.00",0.02K
04-10-2019,"23,200.00","23,201.00","23,201.50","23,196.50",0.02K
04-09-2019,"23,198.00","23,199.00","23,201.00","23,195.50",0.02K
04-08-2019,"23,199.00","23,197.00","23,203.00","23,197.00",0.04K
04-05-2019,"23,199.00","23,198.00","23,206.00","23,187.00",0.10K
04-04-2019,"23,198.00","23,200.00","23,203.00","23,197.00",0.02K
04-03-2019,"23,199.00","23,199.50","23,201.50","23,197.00",0.02K
04-02-2019,"23,197.00","23,201.00","23,202.00","23,196.50",0.03K
04-01-2019,"23,199.00","23,197.00","23,204.00","23,197.00",0.02K
03-29-2019,"23,203.00","23,204.00","23,204.00","23,197.00",0.02K
03-28-2019,"23,200.00","23,199.00","23,203.50","23,198.00",0.02K
03-27-2019,"23,198.00","23,200.00","23,200.50","23,196.00",0.02K
03-26-2019,"23,198.00","23,200.00","23,201.00","23,195.50",0.02K
03-25-2019,"23,199.00","23,201.00","23,202.50","23,198.00",0.02K
03-22-2019,"23,199.00","23,201.50","23,203.50","23,198.50",0.02K
03-21-2019,"23,200.00","23,210.00","23,210.00","23,196.50",0.02K
03-20-2019,"23,209.00","23,210.00","23,212.00","23,177.00",0.07K
03-19-2019,"23,208.00","23,208.00","23,221.00","23,199.00",0.13K
03-18-2019,"23,202.00","23,201.00","23,209.00","23,199.00",0.02K
03-15-2019,"23,198.00","23,200.50","23,205.50","23,198.50",0.02K
03-14-2019,"23,198.00","23,199.00","23,206.50","23,197.50",0.02K
03-13-2019,"23,199.00","23,199.00","23,200.50","23,197.00",0.02K
03-12-2019,"23,198.00","23,199.50","23,200.50","23,197.50",0.02K
03-11-2019,"23,198.00","23,196.00","23,201.50","23,196.00",0.02K
03-08-2019,"23,199.00","23,199.00","23,201.00","23,196.00",0.02K
03-07-2019,"23,197.00","23,202.50","23,202.50","23,197.00",0.02K
03-06-2019,"23,200.00","23,200.00","23,202.00","23,197.00",0.02K
03-05-2019,"23,198.00","23,200.50","23,202.00","23,197.00",0.01K
03-04-2019,"23,200.00","23,199.00","23,202.50","23,196.00",0.02K
03-01-2019,"23,202.00","23,198.50","23,204.00","23,180.00",0.06K
02-28-2019,"23,199.00","23,197.50","23,216.00","23,170.00",0.20K
02-27-2019,"23,199.00","23,197.50","23,202.50","23,195.50",0.02K
02-26-2019,"23,200.00","23,209.00","23,218.50","23,197.50",0.02K
02-25-2019,"23,216.00","23,223.00","23,223.50","23,170.00",0.07K
02-22-2019,"23,209.00","23,211.00","23,257.00","23,180.00",0.20K
02-21-2019,"23,210.00","23,199.00","23,213.50","23,199.00",0.02K
02-20-2019,"23,198.00","23,198.00","23,202.50","23,193.50",0.02K
02-19-2019,"23,199.00","23,200.00","23,202.50","23,196.00",0.02K
02-18-2019,"23,199.00","23,199.50","23,225.00","23,179.50",0.02K
02-15-2019,"23,201.00","23,199.00","23,206.50","23,196.00",0.02K
02-14-2019,"23,201.00","23,202.50","23,204.00","23,196.50",0.01K
02-13-2019,"23,196.00","23,201.50","23,212.50","23,197.50",0.02K
02-12-2019,"23,208.00","23,202.50","23,212.50","23,202.50",0.02K
02-11-2019,"23,210.00","23,200.00","23,220.00","23,199.00",0.01K
02-08-2019,"23,200.00","23,200.00","23,200.00","23,200.00",
02-07-2019,"23,200.00","23,200.00","23,200.00","23,200.00",
02-06-2019,"23,200.00","23,200.00","23,200.00","23,200.00",
02-05-2019,"23,200.00","23,200.00","23,200.00","23,200.00",
02-04-2019,"23,200.00","23,200.00","23,200.00","23,200.00",
02-01-2019,"23,200.00","23,196.50","23,215.00","23,187.50",0.01K
01-31-2019,"23,198.00","23,201.50","23,202.50","23,197.00",0.01K
01-30-2019,"23,203.00","23,203.00","23,208.00","23,194.00",0.01K
01-29-2019,"23,196.00","23,198.50","23,199.50","23,192.00",0.02K
01-28-2019,"23,194.00","23,191.00","23,214.00","23,171.00",0.02K
01-25-2019,"23,192.00","23,198.50","23,200.00","23,190.00",0.01K
01-24-2019,"23,196.00","23,201.00","23,201.00","23,195.00",0.02K
01-23-2019,"23,196.00","23,198.00","23,200.50","23,196.00",0.01K
