gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1496.59998,1.67600,1.96200,1.59800,1.74500,2019-08-31
1500.80005,1.72500,1.95600,1.64000,1.77800,2019-09-01
1492.90002,1.80400,1.96100,1.75700,1.90100,2019-09-02
1492.90002,1.80400,1.96100,1.75700,1.90100,2019-09-03
1492.90002,1.80400,1.96100,1.75700,1.90100,2019-09-04
1504.80005,1.75700,1.99900,1.69700,1.84300,2019-09-05
1506.90002,1.73100,2.00000,1.66400,1.81000,2019-09-06
1509.09998,1.76400,1.94100,1.67800,1.80000,2019-09-07
1499.50000,1.74400,1.93800,1.66300,1.78700,2019-09-08
1508.00000,1.68700,1.91000,1.60000,1.72200,2019-09-09
1508.00000,1.68700,1.91000,1.60000,1.72200,2019-09-10
1508.00000,1.68700,1.91000,1.60000,1.72200,2019-09-11
1524.00000,1.68300,1.90500,1.60000,1.72300,2019-09-12
1532.59998,1.62800,1.93100,1.52900,1.65200,2019-09-13
1505.09998,1.68100,1.89500,1.60900,1.73700,2019-09-14
1507.90002,1.66000,1.82800,1.58500,1.69700,2019-09-15
1502.69995,1.63800,1.79700,1.56500,1.68700,2019-09-16
1502.69995,1.63800,1.79700,1.56500,1.68700,2019-09-17
1502.69995,1.63800,1.79700,1.56500,1.68700,2019-09-18
1469.19995,1.62600,1.82500,1.54600,1.66800,2019-09-19
1485.19995,1.54200,1.82600,1.48900,1.63500,2019-09-20
1504.09998,1.48400,1.80800,1.43500,1.60100,2019-09-21
1510.09998,1.39200,1.71800,1.34900,1.53400,2019-09-22
1509.19995,1.40600,1.71000,1.34900,1.52900,2019-09-23
1509.19995,1.40600,1.71000,1.34900,1.52900,2019-09-24
1509.19995,1.40600,1.71000,1.34900,1.52900,2019-09-25
1500.69995,1.46800,1.72300,1.39700,1.56500,2019-09-26
1500.09998,1.42800,1.70000,1.35700,1.53200,2019-09-27
1508.90002,1.47000,1.70500,1.40900,1.58700,2019-09-28
1497.00000,1.54600,1.68700,1.48800,1.67000,2019-09-29
1484.69995,1.59700,1.68200,1.55600,1.73400,2019-09-30
1484.69995,1.59700,1.68200,1.55600,1.73400,2019-10-01
1484.69995,1.59700,1.68200,1.55600,1.73400,2019-10-02
1493.80005,1.59500,1.68700,1.54600,1.71500,2019-10-03
1479.69995,1.62400,1.67100,1.59900,1.77100,2019-10-04
1490.19995,1.59000,1.66900,1.56700,1.74500,2019-10-05
1494.19995,1.59800,1.66900,1.57400,1.75000,2019-10-06
1490.00000,1.57800,1.67100,1.56600,1.75400,2019-10-07
1490.00000,1.57800,1.67100,1.56600,1.75400,2019-10-08
1490.00000,1.57800,1.67100,1.56600,1.75400,2019-10-09
1484.19995,1.62500,1.66900,1.61200,1.80300,2019-10-10
1483.59998,1.60100,1.65900,1.59100,1.76800,2019-10-11
1491.80005,1.58800,1.65900,1.59400,1.76800,2019-10-12
1501.00000,1.58200,1.67400,1.58800,1.77100,2019-10-13
1501.69995,1.62400,1.67400,1.62600,1.79900,2019-10-14
1501.69995,1.62400,1.67400,1.62600,1.79900,2019-10-15
1501.69995,1.62400,1.67400,1.62600,1.79900,2019-10-16
1492.40002,1.64800,1.64800,1.66500,1.84500,2019-10-17
1487.40002,1.64100,1.64400,1.65900,1.83700,2019-10-18
1496.69995,1.60200,1.64400,1.60800,1.77500,2019-10-19
1514.80005,1.52600,1.54600,1.51800,1.68800,2019-10-20
1511.40002,1.55400,1.53300,1.54400,1.71400,2019-10-21
1511.40002,1.55400,1.53300,1.54400,1.71400,2019-10-22
1511.40002,1.55400,1.53300,1.54400,1.71400,2019-10-23
1511.09998,1.58800,1.54800,1.59800,1.78100,2019-10-24
1483.69995,1.62200,1.55900,1.66100,1.85700,2019-10-25
1493.09998,1.61300,1.55600,1.63100,1.83000,2019-10-26
1466.40002,1.67900,1.55900,1.74200,1.92900,2019-10-27
1462.90002,1.68000,1.55400,1.75100,1.94500,2019-10-28
1462.90002,1.68000,1.55400,1.75100,1.94500,2019-10-29
1462.90002,1.68000,1.55400,1.75100,1.94500,2019-10-30
1457.09998,1.67600,1.55600,1.73900,1.92300,2019-10-31
1453.69995,1.66200,1.57400,1.73400,1.92800,2019-11-01
1463.30005,1.64600,1.57200,1.69800,1.89100,2019-11-02
1473.40002,1.59100,1.57400,1.62800,1.82200,2019-11-03
1468.50000,1.61400,1.56900,1.65300,1.83600,2019-11-04
1468.50000,1.61400,1.56900,1.65300,1.83600,2019-11-05
1468.50000,1.61400,1.56900,1.65300,1.83600,2019-11-06
