"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/1993","91.800","91.510","92.100","91.530","2.44K","0.38%"
"09/07/1993","91.450","91.720","92.020","91.170","2.77K","-0.69%"
"09/03/1993","92.090","93.310","93.520","92.020","3.17K","-1.27%"
"09/02/1993","93.270","93.720","93.820","93.250","3.80K","-0.45%"
"09/01/1993","93.690","94.240","94.240","93.480","2.20K","-0.53%"
"08/31/1993","94.190","93.830","94.400","93.700","0.90K","0.38%"
"08/30/1993","93.830","93.430","94.040","93.650","1.63K","0.39%"
"08/27/1993","93.470","93.610","93.880","93.350","0.66K","-0.03%"
"08/26/1993","93.500","94.240","94.380","93.370","1.49K","-0.77%"
"08/25/1993","94.230","93.900","94.700","93.900","1.43K","0.49%"
"08/24/1993","93.770","93.960","94.250","93.750","0.36K","-0.34%"
"08/23/1993","94.090","93.570","94.310","93.390","1.83K","0.48%"
"08/20/1993","93.640","94.220","94.280","93.480","","-0.84%"
"08/19/1993","94.430","93.660","94.800","93.400","2.15K","0.84%"
"08/18/1993","93.640","94.300","94.400","93.490","1.49K","-0.67%"
"08/17/1993","94.270","94.350","94.620","94.110","0.82K","0.01%"
"08/16/1993","94.260","95.510","95.510","94.060","6.33K","-1.46%"
"08/13/1993","95.660","95.670","95.980","95.400","0.62K","0.03%"
"08/12/1993","95.630","95.650","96.200","95.500","2.55K","-0.14%"
"08/11/1993","95.760","95.840","95.870","95.380","0.71K","-0.10%"
"08/10/1993","95.860","94.830","95.880","94.840","1.55K","1.10%"
"08/09/1993","94.820","94.650","95.100","94.500","1.69K","0.29%"
"08/06/1993","94.550","94.920","95.440","94.420","3.01K","-0.45%"
"08/05/1993","94.980","94.820","95.380","94.820","2.15K","0.15%"
"08/04/1993","94.840","94.930","95.100","94.730","0.80K","-0.08%"
"08/03/1993","94.920","95.010","95.380","94.550","2.41K","-0.15%"
"08/02/1993","95.060","96.550","96.730","94.880","6.57K","-1.32%"
"07/30/1993","96.330","96.200","96.590","96.120","3.53K","-0.04%"
"07/29/1993","96.370","94.990","96.400","94.700","4.75K","1.43%"
"07/28/1993","95.010","95.600","95.620","94.860","1.98K","-0.63%"
"07/27/1993","95.610","95.450","95.640","95.330","2.47K","0.12%"
"07/26/1993","95.500","95.300","95.610","95.300","0.52K","0.17%"
"07/23/1993","95.340","94.870","95.510","94.850","1.07K","0.73%"
"07/22/1993","94.650","94.560","95.150","94.560","1.00K","0.04%"
"07/21/1993","94.610","94.510","94.870","94.360","1.24K","-0.03%"
"07/20/1993","94.640","94.820","95.290","94.530","2.20K","-0.27%"
"07/19/1993","94.900","95.310","95.430","94.790","1.50K","-0.43%"
"07/16/1993","95.310","95.630","96.200","95.230","3.71K","-0.33%"
"07/15/1993","95.630","95.190","95.850","95.070","2.03K","0.40%"
"07/14/1993","95.250","95.400","95.990","95.090","4.12K","-0.15%"
"07/13/1993","95.390","96.180","96.300","95.350","1.66K","-0.86%"
"07/12/1993","96.220","96.040","96.500","95.870","2.16K","0.26%"
"07/09/1993","95.970","94.820","96.020","94.720","2.22K","1.14%"
"07/08/1993","94.890","94.780","95.290","94.500","1.51K","-0.02%"
"07/07/1993","94.910","94.780","95.000","94.250","1.42K","0.19%"
"07/06/1993","94.730","94.480","94.850","94.360","0.66K","0.26%"
"07/02/1993","94.480","94.060","94.650","93.500","1.54K","0.37%"
"07/01/1993","94.130","94.580","95.120","93.920","1.59K","-0.54%"
"06/30/1993","94.640","93.860","94.790","93.600","3.54K","0.97%"
"06/29/1993","93.730","94.280","94.450","93.710","3.78K","-0.67%"
"06/28/1993","94.360","94.490","94.970","94.200","1.14K","-0.25%"
"06/25/1993","94.600","95.070","95.120","94.180","1.21K","-0.55%"
"06/24/1993","95.120","94.550","95.340","94.300","2.81K","0.71%"
"06/23/1993","94.450","94.710","95.180","94.250","2.34K","-0.33%"
"06/22/1993","94.760","94.330","95.000","94.140","1.60K","0.42%"
"06/21/1993","94.360","93.960","94.850","93.900","2.87K","0.33%"
"06/18/1993","94.050","92.770","94.220","92.650","3.38K","1.39%"
"06/17/1993","92.760","92.750","93.080","92.440","1.84K","1.06%"
"06/16/1993","91.790","91.100","91.850","91.050","0.18K","0.71%"
"06/15/1993","91.140","90.250","91.250","90.100","0.28K","0.89%"
"06/14/1993","90.340","90.340","90.410","90.010","1.19K","-0.09%"
"06/11/1993","90.420","90.390","90.760","90.000","0.55K","-0.14%"
"06/10/1993","90.550","90.890","91.050","90.430","1.23K","-0.44%"
"06/09/1993","90.950","90.490","91.200","90.500","1.55K","0.46%"
"06/08/1993","90.530","90.360","90.690","90.240","0.40K","-0.04%"
"06/07/1993","90.570","90.900","90.950","90.430","0.51K","-0.47%"
"06/04/1993","91.000","89.320","91.050","89.320","5.39K","1.57%"
"06/03/1993","89.590","89.510","89.780","89.500","0.56K","0.07%"
"06/02/1993","89.530","89.000","89.740","88.920","1.49K","0.20%"
"06/01/1993","89.350","89.130","89.540","89.050","0.54K","0.20%"
"05/28/1993","89.170","89.700","89.740","89.040","1.39K","-0.69%"
"05/27/1993","89.790","90.640","90.690","89.550","5.18K","-1.05%"
"05/26/1993","90.740","90.880","91.060","90.530","2.23K","-0.20%"
"05/25/1993","90.920","91.210","91.310","90.750","2.07K","-0.35%"
"05/24/1993","91.240","91.000","91.680","90.950","2.03K","0.34%"
"05/21/1993","90.930","90.630","91.230","90.520","1.39K","0.45%"
"05/20/1993","90.520","91.020","91.070","90.410","1.51K","-0.55%"
"05/19/1993","91.020","91.230","91.430","90.650","1.48K","-0.30%"
"05/18/1993","91.290","91.070","91.600","91.010","2.71K","0.25%"
"05/17/1993","91.060","90.840","91.220","90.550","2.27K","0.56%"
"05/14/1993","90.550","91.270","91.390","90.500","1.37K","-0.88%"
"05/13/1993","91.350","90.950","91.400","90.920","0.82K","0.15%"
"05/12/1993","91.210","91.000","91.350","90.900","0.95K","0.27%"
"05/11/1993","90.960","90.900","91.240","90.750","1.22K","-0.09%"
"05/10/1993","91.040","89.700","91.100","89.730","5.10K","1.55%"
"05/07/1993","89.650","89.180","89.780","88.920","3.61K","0.48%"
"05/06/1993","89.220","89.540","89.870","89.190","1.72K","-0.46%"
"05/05/1993","89.630","89.480","89.770","89.360","0.60K","0.04%"
"05/04/1993","89.590","89.830","89.850","89.300","3.97K","-0.30%"
"05/03/1993","89.860","90.080","90.520","89.850","1.38K","-0.31%"
"04/30/1993","90.140","90.030","90.400","89.720","2.61K","0.41%"
"04/29/1993","89.770","89.920","90.150","89.450","1.03K","-0.16%"
"04/28/1993","89.910","90.400","90.600","89.850","1.13K","-0.11%"
"04/27/1993","90.010","89.300","90.100","89.060","2.75K","1.02%"
"04/26/1993","89.100","89.640","89.660","88.980","0.97K","-0.90%"
"04/23/1993","89.910","90.510","90.780","89.700","2.88K","-1.08%"
"04/22/1993","90.890","90.960","91.650","90.650","1.05K","-0.30%"
"04/21/1993","91.160","90.850","91.450","90.800","2.03K","0.46%"
