Date,Price,Open,High,Low,Vol.
04-02-2012,78.963,79.035,79.275,78.92,19.34K
03-30-2012,79.138,79.225,79.225,78.87,24.07K
03-29-2012,79.357,79.275,79.53,79.125,19.45K
03-28-2012,79.299,79.29,79.515,79.05,27.63K
03-27-2012,79.222,79.125,79.345,78.93,20.78K
03-26-2012,79.179,79.495,79.94,79.06,19.12K
03-23-2012,79.576,79.895,80.01,79.325,24.70K
03-22-2012,79.998,79.77,80.195,79.65,21.99K
03-21-2012,79.896,79.805,80.07,79.53,15.86K
03-20-2012,79.825,79.755,80.1,79.685,13.89K
03-19-2012,79.712,80.065,80.185,79.605,20.19K
03-16-2012,79.734,80.23,80.385,79.73,
03-15-2012,80.136,80.63,80.725,80.025,22.10K
03-14-2012,80.536,80.15,80.62,80.135,38.98K
03-13-2012,80.21,79.82,80.345,79.69,38.08K
03-12-2012,79.913,80.025,80.16,79.845,22.99K
03-09-2012,80.084,79.225,80.095,79.195,28.39K
03-08-2012,79.179,79.785,79.815,79.1,24.71K
03-07-2012,79.763,79.83,79.98,79.645,25.37K
03-06-2012,79.926,79.37,79.935,79.345,28.18K
03-05-2012,79.365,79.515,79.64,79.285,19.12K
03-02-2012,79.462,78.825,79.515,78.79,30.12K
03-01-2012,78.834,78.8,78.995,78.69,20.82K
02-29-2012,78.794,78.22,78.93,78.12,36.18K
02-28-2012,78.3,78.55,78.64,78.22,27.92K
02-27-2012,78.578,78.45,78.715,78.4,34.10K
02-24-2012,78.401,78.68,78.82,78.26,34.10K
02-23-2012,78.886,79.345,79.37,78.655,34.29K
02-22-2012,79.303,79.2,79.465,79.08,22.46K
02-21-2012,79.136,79.2,79.36,78.895,23.77K
02-20-2012,79.1,79.188,79.327,78.91,
02-17-2012,79.456,79.485,79.595,79.255,5.53K
02-16-2012,79.455,79.86,80.24,79.37,35.09K
02-15-2012,79.783,79.56,79.86,79.2,33.37K
02-14-2012,79.694,79.2,79.765,79.015,32.50K
02-13-2012,79.045,78.95,79.125,78.715,20.79K
02-10-2012,79.226,78.655,79.315,78.655,28.29K
02-09-2012,78.652,78.8,78.89,78.43,26.57K
02-08-2012,78.734,78.645,78.855,78.51,25.58K
02-07-2012,78.675,79.2,79.37,78.57,34.45K
02-06-2012,79.186,79.19,79.645,79.1,18.55K
02-03-2012,79.057,79.125,79.485,78.815,25.78K
02-02-2012,79.11,78.905,79.315,78.84,19.65K
02-01-2012,79.033,79.48,79.665,78.745,34.83K
01-31-2012,79.417,79.165,79.63,78.855,24.95K
01-30-2012,79.302,78.96,79.57,78.96,22.36K
01-27-2012,79.011,79.62,79.63,78.89,28.70K
01-26-2012,79.513,79.64,79.65,79.19,28.88K
01-25-2012,79.717,79.965,80.505,79.515,36.15K
01-24-2012,80.026,79.925,80.345,79.785,24.90K
01-23-2012,79.934,80.535,80.585,79.755,24.81K
01-20-2012,80.406,80.275,80.635,80.185,14.82K
01-19-2012,80.405,80.715,80.805,80.23,21.62K
01-18-2012,80.822,81.28,81.375,80.665,22.23K
01-17-2012,81.429,81.67,81.68,81.01,20.23K
01-16-2012,81.583,81.863,81.965,81.583,
01-13-2012,81.791,81.06,82.045,80.735,5.65K
01-12-2012,81.036,81.535,81.645,80.95,21.28K
01-11-2012,81.614,81.295,81.785,81.1,19.40K
01-10-2012,81.101,81.27,81.4,81.015,14.03K
01-09-2012,81.388,81.67,81.855,81.255,16.30K
01-06-2012,81.597,81.245,81.72,81.055,26.72K
