"Date","Price","Open","High","Low","Change %"
"12/31/2012","9.588","9.588","9.588","9.588","0.00%"
"12/30/2012","9.588","9.588","9.588","9.588","0.00%"
"12/28/2012","9.588","9.588","9.588","9.588","0.16%"
"12/27/2012","9.573","9.573","9.573","9.573","0.27%"
"12/26/2012","9.547","9.547","9.547","9.547","-0.51%"
"12/25/2012","9.596","9.596","9.596","9.596","0.00%"
"12/24/2012","9.596","9.596","9.596","9.596","-0.28%"
"12/23/2012","9.623","9.623","9.623","9.623","0.00%"
"12/22/2012","9.623","9.623","9.623","9.623","0.00%"
"12/21/2012","9.623","9.623","9.623","9.623","0.40%"
"12/20/2012","9.585","9.585","9.585","9.585","-0.03%"
"12/19/2012","9.588","9.588","9.588","9.588","-0.01%"
"12/18/2012","9.589","9.589","9.589","9.589","-0.52%"
"12/17/2012","9.639","9.639","9.639","9.639","0.86%"
"12/14/2012","9.557","9.557","9.557","9.557","0.17%"
"12/13/2012","9.541","9.541","9.541","9.541","-0.07%"
"12/12/2012","9.548","9.548","9.548","9.548","-0.79%"
"12/11/2012","9.624","9.624","9.624","9.624","0.39%"
"12/10/2012","9.587","9.587","9.587","9.587","0.16%"
"12/07/2012","9.572","9.572","9.572","9.572","0.05%"
"12/06/2012","9.567","9.567","9.567","9.567","-0.28%"
"12/05/2012","9.594","9.594","9.594","9.594","-0.37%"
"12/04/2012","9.630","9.630","9.630","9.630","-0.23%"
"12/03/2012","9.652","9.652","9.652","9.652","0.24%"
"11/30/2012","9.629","9.629","9.629","9.629","-0.01%"
"11/29/2012","9.630","9.630","9.630","9.630","0.00%"
"11/28/2012","9.630","9.630","9.630","9.630","0.00%"
"11/27/2012","9.630","9.630","9.630","9.630","-0.22%"
"11/26/2012","9.651","9.651","9.651","9.651","-0.51%"
"11/23/2012","9.700","9.700","9.700","9.700","-0.55%"
"11/22/2012","9.754","9.754","9.754","9.754","0.74%"
"11/21/2012","9.682","9.682","9.682","9.682","-0.33%"
"11/20/2012","9.714","9.714","9.714","9.714","-0.13%"
"11/19/2012","9.727","9.727","9.727","9.727","-0.87%"
"11/16/2012","9.812","9.812","9.812","9.812","0.85%"
"11/15/2012","9.729","9.729","9.729","9.729","-0.21%"
"11/14/2012","9.749","9.749","9.749","9.749","-1.26%"
"11/13/2012","9.873","9.873","9.873","9.873","0.00%"
"11/12/2012","9.873","9.873","9.873","9.873","-0.09%"
"11/09/2012","9.882","9.882","9.882","9.882","-0.38%"
"11/08/2012","9.920","9.920","9.920","9.920","0.28%"
"11/07/2012","9.892","9.892","9.892","9.892","-0.67%"
"11/06/2012","9.959","9.959","9.959","9.959","-0.34%"
"11/05/2012","9.993","9.993","9.993","9.993","0.43%"
"11/03/2012","9.950","9.950","9.950","9.950","0.00%"
"11/02/2012","9.950","9.950","9.950","9.950","-0.21%"
"11/01/2012","9.971","9.971","9.971","9.971","-0.13%"
"10/31/2012","9.984","9.984","9.984","9.984","-1.82%"
"10/30/2012","10.169","10.169","10.169","10.169","0.00%"
"10/29/2012","10.169","10.169","10.169","10.169","0.19%"
"10/26/2012","10.150","10.150","10.150","10.150","0.00%"
"10/25/2012","10.150","10.150","10.150","10.150","0.02%"
"10/24/2012","10.148","10.148","10.148","10.148","-0.02%"
"10/23/2012","10.150","10.150","10.150","10.150","0.15%"
"10/22/2012","10.135","10.135","10.135","10.135","-0.55%"
"10/19/2012","10.191","10.191","10.191","10.191","0.65%"
"10/18/2012","10.125","10.125","10.125","10.125","-0.29%"
"10/17/2012","10.154","10.154","10.154","10.154","-0.09%"
"10/16/2012","10.163","10.163","10.163","10.163","0.45%"
"10/15/2012","10.117","10.117","10.117","10.117","0.25%"
"10/12/2012","10.092","10.092","10.092","10.092","0.14%"
"10/11/2012","10.078","10.078","10.078","10.078","0.72%"
"10/10/2012","10.006","10.006","10.006","10.006","-0.41%"
"10/09/2012","10.047","10.047","10.047","10.047","0.30%"
"10/08/2012","10.017","10.017","10.017","10.017","1.64%"
"10/05/2012","9.855","9.855","9.855","9.855","-0.53%"
"10/04/2012","9.908","9.908","9.908","9.908","-0.33%"
"10/03/2012","9.941","9.941","9.941","9.941","0.44%"
"10/02/2012","9.897","9.897","9.897","9.897","-0.19%"
"10/01/2012","9.916","9.916","9.916","9.916","0.48%"
"09/28/2012","9.869","9.869","9.869","9.869","0.62%"
"09/27/2012","9.808","9.808","9.808","9.808","-0.34%"
"09/26/2012","9.841","9.841","9.841","9.841","0.69%"
"09/25/2012","9.774","9.774","9.774","9.774","0.11%"
"09/24/2012","9.763","9.763","9.763","9.763","-0.07%"
"09/23/2012","9.770","9.770","9.770","9.770","0.00%"
"09/22/2012","9.770","9.770","9.770","9.770","0.00%"
"09/21/2012","9.770","9.770","9.770","9.770","0.10%"
"09/20/2012","9.760","9.760","9.760","9.760","-0.16%"
"09/19/2012","9.776","9.776","9.776","9.776","0.13%"
"09/18/2012","9.763","9.763","9.763","9.763","0.54%"
"09/17/2012","9.711","9.711","9.711","9.711","0.54%"
"09/14/2012","9.659","9.659","9.659","9.659","-0.02%"
"09/13/2012","9.661","9.661","9.661","9.661","-0.04%"
"09/12/2012","9.665","9.665","9.665","9.665","-0.11%"
"09/11/2012","9.676","9.676","9.676","9.676","-0.20%"
"09/10/2012","9.695","9.695","9.695","9.695","-0.05%"
"09/07/2012","9.700","9.700","9.700","9.700","0.03%"
"09/06/2012","9.697","9.697","9.697","9.697","0.14%"
"09/05/2012","9.683","9.683","9.683","9.683","0.09%"
"09/04/2012","9.674","9.674","9.674","9.674","0.32%"
"09/03/2012","9.643","9.643","9.643","9.643","0.00%"
"08/31/2012","9.643","9.643","9.643","9.643","0.46%"
"08/30/2012","9.599","9.599","9.599","9.599","0.01%"
"08/29/2012","9.598","9.598","9.598","9.598","-0.20%"
"08/28/2012","9.617","9.617","9.617","9.617","-0.19%"
"08/27/2012","9.635","9.635","9.635","9.635","0.01%"
"08/24/2012","9.634","9.634","9.634","9.634","0.53%"
"08/23/2012","9.583","9.583","9.583","9.583","0.06%"
"08/22/2012","9.577","9.577","9.577","9.577","0.50%"
"08/21/2012","9.529","9.529","9.529","9.529","0.00%"
"08/20/2012","9.529","9.529","9.529","9.529","-0.48%"
"08/17/2012","9.575","9.575","9.575","9.575","-1.54%"
"08/16/2012","9.725","9.725","9.725","9.725","1.34%"
"08/15/2012","9.596","9.596","9.596","9.596","0.01%"
"08/14/2012","9.595","9.595","9.595","9.595","0.04%"
"08/13/2012","9.591","9.591","9.591","9.591","0.05%"
"08/10/2012","9.586","9.586","9.586","9.586","-1.70%"
"08/09/2012","9.752","9.752","9.752","9.752","1.27%"
"08/08/2012","9.630","9.630","9.630","9.630","-1.93%"
"08/07/2012","9.820","9.820","9.820","9.820","0.18%"
"08/06/2012","9.802","9.802","9.802","9.802","1.72%"
"08/03/2012","9.636","9.636","9.636","9.636","-0.73%"
"08/02/2012","9.707","9.707","9.707","9.707","-0.57%"
"08/01/2012","9.763","9.763","9.763","9.763","-0.58%"
"07/31/2012","9.820","9.820","9.820","9.820","-0.86%"
"07/30/2012","9.905","9.905","9.905","9.905","-0.01%"
"07/27/2012","9.906","9.906","9.906","9.906","0.64%"
"07/26/2012","9.843","9.843","9.843","9.843","0.33%"
"07/25/2012","9.811","9.811","9.811","9.811","-0.55%"
"07/24/2012","9.865","9.865","9.865","9.865","0.71%"
"07/23/2012","9.795","9.795","9.795","9.795","-0.95%"
"07/20/2012","9.889","9.889","9.889","9.889","0.93%"
"07/19/2012","9.798","9.798","9.798","9.798","-0.77%"
"07/18/2012","9.874","9.874","9.874","9.874","0.38%"
"07/17/2012","9.837","9.837","9.837","9.837","-0.12%"
"07/16/2012","9.849","9.849","9.849","9.849","-0.23%"
"07/13/2012","9.872","9.872","9.872","9.872","1.17%"
"07/12/2012","9.758","9.758","9.758","9.758","1.36%"
"07/11/2012","9.627","9.627","9.627","9.627","0.40%"
"07/10/2012","9.589","9.589","9.589","9.589","-1.19%"
"07/09/2012","9.704","9.704","9.704","9.704","1.19%"
"07/06/2012","9.590","9.590","9.590","9.590","0.03%"
"07/05/2012","9.587","9.587","9.587","9.587","-0.19%"
"07/04/2012","9.605","9.605","9.605","9.605","0.00%"
"07/03/2012","9.605","9.605","9.605","9.605","0.18%"
"07/02/2012","9.588","9.588","9.588","9.588","-0.29%"
"06/29/2012","9.616","9.616","9.616","9.616","-0.83%"
"06/28/2012","9.696","9.696","9.696","9.696","0.00%"
"06/27/2012","9.696","9.696","9.696","9.696","0.27%"
"06/26/2012","9.670","9.670","9.670","9.670","0.70%"
"06/25/2012","9.603","9.603","9.603","9.603","0.52%"
"06/22/2012","9.553","9.553","9.553","9.553","0.78%"
"06/21/2012","9.479","9.479","9.479","9.479","0.21%"
"06/20/2012","9.459","9.459","9.459","9.459","-0.26%"
"06/19/2012","9.484","9.484","9.484","9.484","0.01%"
"06/18/2012","9.483","9.483","9.483","9.483","0.13%"
"06/15/2012","9.471","9.471","9.471","9.471","0.00%"
"06/14/2012","9.471","9.471","9.471","9.471","0.77%"
"06/13/2012","9.399","9.399","9.399","9.399","0.26%"
"06/12/2012","9.375","9.375","9.375","9.375","0.27%"
"06/11/2012","9.350","9.350","9.350","9.350","0.01%"
"06/08/2012","9.349","9.349","9.349","9.349","-0.65%"
"06/07/2012","9.410","9.410","9.410","9.410","-0.18%"
"06/06/2012","9.427","9.427","9.427","9.427","-1.22%"
"06/05/2012","9.543","9.543","9.543","9.543","0.71%"
"06/04/2012","9.476","9.476","9.476","9.476","0.01%"
"06/01/2012","9.475","9.475","9.475","9.475","0.37%"
"05/31/2012","9.440","9.440","9.440","9.440","-0.13%"
"05/30/2012","9.452","9.452","9.452","9.452","0.17%"
"05/29/2012","9.436","9.436","9.436","9.436","-0.10%"
"05/28/2012","9.445","9.445","9.445","9.445","0.01%"
"05/25/2012","9.444","9.444","9.444","9.444","0.25%"
"05/24/2012","9.420","9.390","9.420","9.390","0.32%"
"05/23/2012","9.390","9.430","9.430","9.390","-0.42%"
"05/22/2012","9.430","9.460","9.460","9.430","-0.32%"
"05/21/2012","9.460","9.400","9.460","9.400","0.64%"
"05/18/2012","9.400","9.320","9.400","9.320","0.86%"
"05/17/2012","9.320","9.320","9.320","9.320","0.00%"
"05/16/2012","9.320","9.390","9.390","9.320","-0.75%"
"05/15/2012","9.390","9.840","9.840","9.390","-4.57%"
"05/14/2012","9.840","9.840","9.840","9.840","0.00%"
"05/11/2012","9.840","9.840","9.840","9.840","0.00%"
"05/10/2012","9.840","9.890","9.890","9.840","-0.51%"
"05/09/2012","9.890","9.970","9.970","9.890","-0.80%"
"05/08/2012","9.970","10.120","10.120","9.970","-1.48%"
"05/07/2012","10.120","10.120","10.120","10.120","0.00%"
"05/04/2012","10.120","10.790","10.790","10.120","-6.21%"
"05/03/2012","10.790","10.660","10.790","10.660","1.22%"
"05/02/2012","10.660","10.640","10.660","10.640","0.19%"
"04/27/2012","10.640","10.750","10.750","10.640","-0.93%"
"04/26/2012","10.740","10.820","10.820","10.740","-0.74%"
"04/25/2012","10.820","10.820","10.820","10.820","0.00%"
"04/24/2012","10.820","10.880","10.880","10.820","-0.46%"
"04/23/2012","10.870","10.820","10.870","10.820","0.46%"
"04/20/2012","10.820","10.780","10.820","10.780","0.37%"
"04/19/2012","10.780","10.870","10.870","10.780","-0.83%"
"04/18/2012","10.870","11.140","11.140","10.870","-2.42%"
"04/17/2012","11.140","11.300","11.300","11.140","-1.42%"
"04/16/2012","11.300","11.160","11.300","11.160","1.25%"
"04/13/2012","11.160","11.350","11.350","11.160","-1.59%"
"04/12/2012","11.340","11.160","11.340","11.160","1.70%"
"04/11/2012","11.150","11.280","11.280","11.150","-1.15%"
"04/10/2012","11.280","11.310","11.310","11.280","-0.27%"
"04/09/2012","11.310","11.310","11.310","11.310","0.00%"
"04/06/2012","11.310","11.310","11.310","11.310","0.00%"
"04/05/2012","11.310","11.340","11.340","11.310","-0.26%"
"04/04/2012","11.340","11.380","11.380","11.340","-0.35%"
"04/03/2012","11.380","11.340","11.380","11.340","0.44%"
"03/30/2012","11.330","11.320","11.330","11.320","0.18%"
"03/29/2012","11.310","11.310","11.310","11.310","0.00%"
"03/28/2012","11.310","11.320","11.320","11.310","-0.09%"
"03/27/2012","11.320","11.320","11.320","11.320","0.00%"
"03/26/2012","11.320","11.290","11.320","11.290","0.27%"
"03/23/2012","11.290","11.360","11.360","11.290","-0.62%"
"03/22/2012","11.360","11.360","11.360","11.360","0.09%"
"03/21/2012","11.350","11.280","11.350","11.280","0.62%"
"03/20/2012","11.280","11.320","11.320","11.280","-0.35%"
"03/19/2012","11.320","11.330","11.330","11.320","-0.09%"
"03/16/2012","11.330","11.330","11.330","11.330","0.00%"
"03/15/2012","11.330","11.260","11.330","11.260","0.62%"
"03/14/2012","11.260","11.380","11.380","11.260","-0.97%"
"03/13/2012","11.370","11.380","11.380","11.370","0.00%"
"03/12/2012","11.370","11.240","11.370","11.240","1.16%"
"03/09/2012","11.240","11.300","11.300","11.240","-0.44%"
"03/08/2012","11.290","11.290","11.290","11.290","0.00%"
"03/07/2012","11.290","11.540","11.540","11.290","-2.17%"
"03/06/2012","11.540","11.540","11.540","11.540","0.00%"
"03/05/2012","11.540","11.540","11.540","11.540","0.00%"
"03/02/2012","11.540","11.480","11.540","11.480","0.52%"
"03/01/2012","11.480","11.530","11.530","11.480","-0.43%"
"02/29/2012","11.530","11.510","11.530","11.510","0.17%"
"02/28/2012","11.510","11.700","11.700","11.510","-1.62%"
"02/27/2012","11.700","11.620","11.700","11.620","0.69%"
"02/24/2012","11.620","11.640","11.640","11.620","-0.17%"
"02/23/2012","11.640","11.740","11.740","11.640","-0.85%"
"02/22/2012","11.740","11.740","11.740","11.740","0.00%"
"02/21/2012","11.740","11.790","11.790","11.740","-0.42%"
"02/20/2012","11.790","11.920","11.920","11.790","-1.09%"
"02/17/2012","11.920","11.920","11.920","11.920","0.08%"
"02/16/2012","11.910","12.000","12.000","11.910","-0.67%"
"02/15/2012","11.990","12.000","12.000","11.990","0.00%"
"02/14/2012","11.990","12.020","12.020","11.990","-0.25%"
"02/13/2012","12.020","12.120","12.120","12.020","-0.83%"
"02/10/2012","12.120","12.140","12.140","12.120","-0.08%"
"02/09/2012","12.130","12.130","12.130","12.130","0.00%"
"02/08/2012","12.130","12.110","12.130","12.110","0.17%"
"02/07/2012","12.110","12.110","12.110","12.110","0.00%"
"02/06/2012","12.110","12.340","12.340","12.110","-1.86%"
"02/03/2012","12.340","12.340","12.340","12.340","0.08%"
"02/02/2012","12.330","12.330","12.330","12.330","0.00%"
"02/01/2012","12.330","12.330","12.330","12.330","0.00%"
"01/31/2012","12.330","12.330","12.330","12.330","0.00%"
"01/30/2012","12.330","12.330","12.330","12.330","0.16%"
"01/20/2012","12.310","12.310","12.310","12.310","0.08%"
"01/19/2012","12.300","12.300","12.300","12.300","0.08%"
"01/18/2012","12.290","12.290","12.290","12.290","0.00%"
"01/17/2012","12.290","12.290","12.290","12.290","0.00%"
"01/16/2012","12.290","12.290","12.290","12.290","0.00%"
"01/13/2012","12.290","12.290","12.290","12.290","0.08%"
"01/12/2012","12.280","12.280","12.280","12.280","0.00%"
"01/11/2012","12.280","12.280","12.280","12.280","0.00%"
"01/10/2012","12.280","12.280","12.280","12.280","0.00%"
"01/09/2012","12.280","12.280","12.280","12.280","0.00%"
"01/06/2012","12.280","12.280","12.280","12.280","0.08%"
"01/05/2012","12.270","12.270","12.270","12.270","0.00%"
"01/04/2012","12.270","12.270","12.270","12.270","0.00%"
"01/03/2012","12.270","12.270","12.270","12.270","0.08%"
"12/30/2011","12.260","12.260","12.260","12.260","0.00%"
"12/29/2011","12.260","12.260","12.260","12.260","0.08%"
"12/28/2011","12.250","12.260","12.260","12.250","0.00%"
"12/27/2011","12.250","12.260","12.260","12.250","0.00%"
"12/26/2011","12.250","12.230","12.250","12.230","0.16%"
"12/23/2011","12.230","12.230","12.230","12.230","0.08%"
"12/22/2011","12.220","12.230","12.230","12.220","-0.08%"
"12/21/2011","12.230","12.230","12.230","12.230","0.00%"
"12/20/2011","12.230","12.190","12.230","12.190","0.33%"
"12/19/2011","12.190","12.220","12.220","12.190","-0.25%"
"12/16/2011","12.220","12.250","12.250","12.220","-0.16%"
"12/15/2011","12.240","12.240","12.240","12.240","0.00%"
"12/14/2011","12.240","12.240","12.240","12.240","0.00%"
"12/13/2011","12.240","12.240","12.240","12.240","0.00%"
"12/12/2011","12.240","12.240","12.240","12.240","0.00%"
"12/09/2011","12.240","12.240","12.240","12.240","0.08%"
"12/08/2011","12.230","12.250","12.250","12.230","-0.08%"
"12/07/2011","12.240","12.250","12.250","12.240","0.00%"
"12/06/2011","12.240","12.240","12.240","12.240","0.00%"
"12/05/2011","12.240","12.240","12.240","12.240","0.00%"
"12/02/2011","12.240","12.240","12.240","12.240","0.00%"
