Date,Price,Open,High,Low
04-05-2001,4.091,4.091,4.091,4.091
04-04-2001,4.087,4.087,4.087,4.087
04-03-2001,4.159,4.159,4.159,4.159
04-02-2001,4.263,4.263,4.263,4.263
03-30-2001,4.292,4.292,4.292,4.292
03-29-2001,4.345,4.345,4.345,4.345
03-28-2001,4.346,4.346,4.346,4.346
03-27-2001,4.34,4.34,4.34,4.34
03-26-2001,4.242,4.242,4.242,4.242
03-23-2001,4.281,4.281,4.281,4.281
03-22-2001,4.262,4.262,4.262,4.262
03-21-2001,4.48,4.48,4.48,4.48
03-20-2001,4.48,4.48,4.48,4.48
03-19-2001,4.574,4.574,4.574,4.574
03-16-2001,4.535,4.535,4.535,4.535
03-15-2001,4.521,4.521,4.521,4.521
03-14-2001,4.532,4.532,4.532,4.532
03-13-2001,4.641,4.641,4.641,4.641
03-12-2001,4.387,4.387,4.387,4.387
03-09-2001,4.727,4.727,4.727,4.727
03-08-2001,4.677,4.677,4.677,4.677
03-07-2001,4.677,4.677,4.677,4.677
03-06-2001,4.719,4.719,4.719,4.719
03-05-2001,4.833,4.833,4.833,4.833
03-02-2001,4.841,4.841,4.841,4.841
03-01-2001,4.853,4.853,4.853,4.853
02-28-2001,4.869,4.869,4.869,4.869
02-27-2001,4.791,4.791,4.791,4.791
02-26-2001,4.823,4.823,4.823,4.823
02-23-2001,4.898,4.898,4.898,4.898
02-22-2001,4.998,4.998,4.998,4.998
02-21-2001,5.01,5.01,5.01,5.01
02-20-2001,5.03,5.03,5.03,5.03
02-16-2001,4.954,4.954,4.954,4.954
02-15-2001,5.087,5.087,5.087,5.087
02-14-2001,5.061,5.061,5.061,5.061
02-13-2001,5.046,5.046,5.046,5.046
02-12-2001,5.072,5.072,5.072,5.072
02-09-2001,5.059,5.059,5.059,5.059
02-08-2001,5.076,5.076,5.076,5.076
02-07-2001,5.077,5.077,5.077,5.077
02-06-2001,5.077,5.077,5.077,5.077
02-05-2001,5.051,5.051,5.051,5.051
02-02-2001,5.059,5.059,5.059,5.059
02-01-2001,4.998,4.998,4.998,4.998
01-31-2001,4.978,4.978,4.978,4.978
01-30-2001,5.01,5.01,5.01,5.01
01-29-2001,5.145,5.145,5.145,5.145
01-26-2001,5.168,5.168,5.168,5.168
01-25-2001,5.264,5.264,5.264,5.264
01-24-2001,5.28,5.28,5.28,5.28
01-23-2001,5.233,5.233,5.233,5.233
01-22-2001,5.223,5.223,5.223,5.223
01-19-2001,5.225,5.225,5.225,5.225
01-18-2001,5.274,5.274,5.274,5.274
01-17-2001,5.358,5.358,5.358,5.358
01-16-2001,5.374,5.374,5.374,5.374
01-12-2001,5.349,5.349,5.349,5.349
01-11-2001,5.284,5.284,5.284,5.284
01-10-2001,5.311,5.311,5.311,5.311
01-09-2001,5.244,5.244,5.244,5.244
01-08-2001,5.183,5.183,5.183,5.183
01-05-2001,5.121,5.121,5.121,5.121
01-04-2001,5.383,5.383,5.383,5.383
01-03-2001,5.655,5.655,5.655,5.655
01-02-2001,5.593,5.593,5.593,5.593
12-29-2000,5.869,5.869,5.869,5.869
12-28-2000,5.967,5.967,5.967,5.967
12-27-2000,5.759,5.759,5.759,5.759
12-22-2000,5.235,5.235,5.235,5.235
12-21-2000,5.435,5.435,5.435,5.435
12-20-2000,5.749,5.749,5.749,5.749
12-19-2000,5.917,5.917,5.917,5.917
12-18-2000,5.937,5.937,5.937,5.937
12-15-2000,6.006,6.006,6.006,6.006
12-14-2000,6.03,6.03,6.03,6.03
12-13-2000,6.041,6.041,6.041,6.041
12-12-2000,6.063,6.063,6.063,6.063
12-11-2000,6.068,6.068,6.068,6.068
12-08-2000,6.074,6.074,6.074,6.074
12-07-2000,6.092,6.092,6.092,6.092
12-06-2000,6.083,6.083,6.083,6.083
12-05-2000,6.084,6.084,6.084,6.084
12-04-2000,6.156,6.156,6.156,6.156
12-01-2000,6.209,6.209,6.209,6.209
11-30-2000,6.207,6.207,6.207,6.207
11-29-2000,6.219,6.219,6.219,6.219
11-28-2000,6.272,6.272,6.272,6.272
11-27-2000,6.318,6.318,6.318,6.318
11-24-2000,6.35,6.35,6.35,6.35
11-22-2000,6.343,6.343,6.343,6.343
11-21-2000,6.325,6.325,6.325,6.325
11-20-2000,6.318,6.318,6.318,6.318
11-17-2000,6.335,6.335,6.335,6.335
11-16-2000,6.333,6.333,6.333,6.333
11-15-2000,6.355,6.355,6.355,6.355
11-14-2000,6.293,6.293,6.293,6.293
11-13-2000,6.36,6.36,6.36,6.36
11-10-2000,6.308,6.308,6.308,6.308
11-09-2000,6.377,6.377,6.377,6.377
11-08-2000,6.386,6.386,6.386,6.386
11-07-2000,6.39,6.39,6.39,6.39
11-06-2000,6.37,6.37,6.37,6.37
11-03-2000,6.377,6.377,6.377,6.377
11-02-2000,6.354,6.354,6.354,6.354
11-01-2000,6.355,6.355,6.355,6.355
10-31-2000,6.351,6.351,6.351,6.351
10-30-2000,6.328,6.328,6.328,6.328
10-27-2000,6.319,6.319,6.319,6.319
10-26-2000,6.354,6.354,6.354,6.354
10-25-2000,6.344,6.344,6.344,6.344
10-24-2000,6.345,6.345,6.345,6.345
10-23-2000,6.334,6.334,6.334,6.334
10-20-2000,6.298,6.298,6.298,6.298
10-19-2000,6.317,6.317,6.317,6.317
10-18-2000,6.203,6.203,6.203,6.203
10-17-2000,6.204,6.204,6.204,6.204
10-16-2000,6.214,6.214,6.214,6.214
10-13-2000,6.142,6.142,6.142,6.142
10-12-2000,6.166,6.166,6.166,6.166
10-11-2000,5.905,5.905,5.905,5.905
10-10-2000,6.207,6.207,6.207,6.207
10-09-2000,6.228,6.228,6.228,6.228
10-06-2000,6.224,6.224,6.224,6.224
10-05-2000,6.228,6.228,6.228,6.228
10-04-2000,5.9,5.9,5.9,5.9
10-03-2000,6.23,6.23,6.23,6.23
10-02-2000,6.193,6.193,6.193,6.193
09-29-2000,6.209,6.209,6.209,6.209
09-28-2000,6.218,6.218,6.218,6.218
09-27-2000,6.172,6.172,6.172,6.172
09-26-2000,6.144,6.144,6.144,6.144
09-25-2000,6.146,6.146,6.146,6.146
09-22-2000,6.157,6.157,6.157,6.157
09-21-2000,6.145,6.145,6.145,6.145
09-20-2000,6.12,6.12,6.12,6.12
09-19-2000,6.121,6.121,6.121,6.121
09-18-2000,6.13,6.13,6.13,6.13
09-15-2000,6.136,6.136,6.136,6.136
09-14-2000,6.134,6.134,6.134,6.134
09-13-2000,6.073,6.073,6.073,6.073
09-12-2000,6.084,6.084,6.084,6.084
09-11-2000,6.104,6.104,6.104,6.104
09-08-2000,6.142,6.142,6.142,6.142
09-07-2000,6.186,6.186,6.186,6.186
09-06-2000,6.203,6.203,6.203,6.203
09-05-2000,6.233,6.233,6.233,6.233
09-01-2000,6.263,6.263,6.263,6.263
08-31-2000,6.307,6.307,6.307,6.307
08-30-2000,6.323,6.323,6.323,6.323
08-29-2000,6.306,6.306,6.306,6.306
08-28-2000,6.298,6.298,6.298,6.298
08-25-2000,6.289,6.289,6.289,6.289
08-24-2000,6.282,6.282,6.282,6.282
08-23-2000,6.283,6.283,6.283,6.283
08-22-2000,6.263,6.263,6.263,6.263
08-21-2000,6.255,6.255,6.255,6.255
08-18-2000,6.256,6.256,6.256,6.256
08-17-2000,6.254,6.254,6.254,6.254
08-16-2000,6.255,6.255,6.255,6.255
08-15-2000,6.251,6.251,6.251,6.251
08-14-2000,6.268,6.268,6.268,6.268
08-11-2000,6.236,6.236,6.236,6.236
08-10-2000,6.239,6.239,6.239,6.239
08-09-2000,6.219,6.219,6.219,6.219
08-08-2000,6.102,6.102,6.102,6.102
08-07-2000,6.234,6.234,6.234,6.234
08-04-2000,6.209,6.209,6.209,6.209
08-03-2000,6.218,6.218,6.218,6.218
08-02-2000,6.24,6.24,6.24,6.24
08-01-2000,6.136,6.136,6.136,6.136
07-31-2000,6.203,6.203,6.203,6.203
07-28-2000,6.183,6.183,6.183,6.183
07-27-2000,6.197,6.197,6.197,6.197
07-26-2000,6.177,6.177,6.177,6.177
07-25-2000,6.134,6.134,6.134,6.134
07-24-2000,6.141,6.141,6.141,6.141
07-21-2000,6.1,6.1,6.1,6.1
07-20-2000,6.181,6.181,6.181,6.181
07-19-2000,6.146,6.146,6.146,6.146
07-18-2000,6.131,6.131,6.131,6.131
07-17-2000,6.146,6.146,6.146,6.146
07-14-2000,6.162,6.162,6.162,6.162
07-13-2000,6.166,6.166,6.166,6.166
07-12-2000,6.164,6.164,6.164,6.164
07-11-2000,5.917,5.917,5.917,5.917
07-10-2000,6.041,6.041,6.041,6.041
07-07-2000,6.016,6.016,6.016,6.016
07-06-2000,5.998,5.998,5.998,5.998
07-05-2000,5.984,5.984,5.984,5.984
07-03-2000,5.858,5.858,5.858,5.858
06-30-2000,5.86,5.86,5.86,5.86
06-29-2000,5.831,5.831,5.831,5.831
06-28-2000,5.798,5.798,5.798,5.798
06-27-2000,5.828,5.828,5.828,5.828
06-26-2000,5.799,5.799,5.799,5.799
06-23-2000,5.839,5.839,5.839,5.839
06-22-2000,5.779,5.779,5.779,5.779
06-21-2000,5.78,5.78,5.78,5.78
06-20-2000,5.784,5.784,5.784,5.784
06-19-2000,5.776,5.776,5.776,5.776
06-16-2000,5.808,5.808,5.808,5.808
06-15-2000,5.821,5.821,5.821,5.821
06-14-2000,5.801,5.801,5.801,5.801
06-13-2000,5.742,5.742,5.742,5.742
06-12-2000,5.838,5.838,5.838,5.838
06-09-2000,5.902,5.902,5.902,5.902
06-08-2000,5.894,5.894,5.894,5.894
06-07-2000,5.895,5.895,5.895,5.895
06-06-2000,5.969,5.969,5.969,5.969
06-05-2000,5.869,5.869,5.869,5.869
06-02-2000,5.808,5.808,5.808,5.808
06-01-2000,5.696,5.696,5.696,5.696
05-31-2000,5.613,5.613,5.613,5.613
05-30-2000,5.725,5.725,5.725,5.725
05-26-2000,5.786,5.786,5.786,5.786
05-25-2000,5.842,5.842,5.842,5.842
05-24-2000,5.89,5.89,5.89,5.89
05-23-2000,5.927,5.927,5.927,5.927
05-22-2000,5.828,5.828,5.828,5.828
05-19-2000,5.839,5.839,5.839,5.839
05-18-2000,5.878,5.878,5.878,5.878
05-17-2000,6.041,6.041,6.041,6.041
05-16-2000,6.147,6.147,6.147,6.147
05-15-2000,6.078,6.078,6.078,6.078
05-12-2000,6.115,6.115,6.115,6.115
05-11-2000,6.017,6.017,6.017,6.017
05-10-2000,6.083,6.083,6.083,6.083
05-09-2000,6.115,6.115,6.115,6.115
05-08-2000,5.984,5.984,5.984,5.984
05-05-2000,5.943,5.943,5.943,5.943
05-04-2000,5.899,5.899,5.899,5.899
05-03-2000,5.843,5.843,5.843,5.843
05-02-2000,5.883,5.883,5.883,5.883
05-01-2000,5.796,5.796,5.796,5.796
04-28-2000,5.813,5.813,5.813,5.813
04-27-2000,5.727,5.727,5.727,5.727
04-26-2000,5.738,5.738,5.738,5.738
04-25-2000,5.781,5.781,5.781,5.781
04-24-2000,5.744,5.744,5.744,5.744
04-20-2000,5.779,5.779,5.779,5.779
04-19-2000,5.796,5.796,5.796,5.796
04-18-2000,5.781,5.781,5.781,5.781
04-17-2000,5.755,5.755,5.755,5.755
04-14-2000,5.764,5.764,5.764,5.764
04-13-2000,5.758,5.758,5.758,5.758
04-12-2000,5.827,5.827,5.827,5.827
04-11-2000,5.823,5.823,5.823,5.823
04-10-2000,5.841,5.841,5.841,5.841
04-07-2000,5.87,5.87,5.87,5.87
04-06-2000,5.873,5.873,5.873,5.873
04-05-2000,5.853,5.853,5.853,5.853
04-04-2000,5.802,5.802,5.802,5.802
04-03-2000,5.815,5.815,5.815,5.815
03-31-2000,5.86,5.86,5.86,5.86
03-30-2000,5.868,5.868,5.868,5.868
03-29-2000,5.885,5.885,5.885,5.885
03-28-2000,5.875,5.875,5.875,5.875
03-27-2000,5.838,5.838,5.838,5.838
03-24-2000,5.881,5.881,5.881,5.881
03-23-2000,5.852,5.852,5.852,5.852
03-22-2000,5.885,5.885,5.885,5.885
03-21-2000,5.891,5.891,5.891,5.891
03-20-2000,5.88,5.88,5.88,5.88
03-17-2000,5.865,5.865,5.865,5.865
03-16-2000,5.842,5.842,5.842,5.842
03-15-2000,5.832,5.832,5.832,5.832
03-14-2000,5.857,5.857,5.857,5.857
03-13-2000,5.856,5.856,5.856,5.856
03-10-2000,5.787,5.787,5.787,5.787
03-09-2000,5.811,5.811,5.811,5.811
03-08-2000,5.812,5.812,5.812,5.812
03-07-2000,5.812,5.812,5.812,5.812
03-06-2000,5.802,5.802,5.802,5.802
03-03-2000,5.787,5.787,5.787,5.787
03-02-2000,5.738,5.738,5.738,5.738
03-01-2000,5.749,5.749,5.749,5.749
02-29-2000,5.792,5.792,5.792,5.792
02-28-2000,5.802,5.802,5.802,5.802
02-25-2000,5.782,5.782,5.782,5.782
02-24-2000,5.806,5.806,5.806,5.806
02-23-2000,5.807,5.807,5.807,5.807
02-22-2000,5.767,5.767,5.767,5.767
02-18-2000,5.729,5.729,5.729,5.729
02-17-2000,5.732,5.732,5.732,5.732
02-16-2000,5.712,5.712,5.712,5.712
02-15-2000,5.63,5.63,5.63,5.63
02-14-2000,5.593,5.593,5.593,5.593
02-11-2000,5.633,5.633,5.633,5.633
02-10-2000,5.654,5.654,5.654,5.654
02-09-2000,5.629,5.629,5.629,5.629
02-08-2000,5.682,5.682,5.682,5.682
02-07-2000,5.614,5.614,5.614,5.614
02-04-2000,5.625,5.625,5.625,5.625
02-03-2000,5.612,5.612,5.612,5.612
02-02-2000,5.597,5.597,5.597,5.597
02-01-2000,5.692,5.692,5.692,5.692
01-31-2000,5.692,5.692,5.692,5.692
01-28-2000,5.625,5.625,5.625,5.625
01-27-2000,5.565,5.565,5.565,5.565
01-26-2000,5.561,5.561,5.561,5.561
01-25-2000,5.567,5.567,5.567,5.567
01-24-2000,5.447,5.447,5.447,5.447
01-21-2000,5.427,5.427,5.427,5.427
01-20-2000,5.429,5.429,5.429,5.429
01-19-2000,5.482,5.482,5.482,5.482
01-18-2000,5.373,5.373,5.373,5.373
01-14-2000,5.4,5.4,5.4,5.4
01-13-2000,5.377,5.377,5.377,5.377
01-12-2000,5.42,5.42,5.42,5.42
01-11-2000,5.421,5.421,5.421,5.421
01-10-2000,5.384,5.384,5.384,5.384
01-07-2000,5.375,5.375,5.375,5.375
01-06-2000,5.393,5.393,5.393,5.393
01-05-2000,5.43,5.43,5.43,5.43
01-04-2000,5.379,5.379,5.379,5.379
01-03-2000,5.405,5.405,5.405,5.405
12-31-1999,5.207,5.207,5.207,5.207
12-30-1999,5.187,5.187,5.187,5.187
12-28-1999,5.389,5.389,5.389,5.389
12-27-1999,5.447,5.447,5.447,5.447
12-23-1999,5.456,5.456,5.456,5.456
12-22-1999,5.509,5.509,5.509,5.509
12-21-1999,5.575,5.575,5.575,5.575
12-20-1999,5.52,5.52,5.52,5.52
12-17-1999,5.437,5.437,5.437,5.437
12-16-1999,5.367,5.367,5.367,5.367
12-15-1999,5.336,5.336,5.336,5.336
12-14-1999,5.345,5.345,5.345,5.345
12-13-1999,5.291,5.291,5.291,5.291
12-10-1999,5.208,5.208,5.208,5.208
