russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
1472.71,26036.1,2111.9,7587.9,994.8,1538.8
1496.72,26362.252,2133.1,7702.3096,994.8,1530.5
1494.84,26403.28,2138.5,7691.0,994.8,1523.0
1494.84,26403.28,2138.5,7691.0,994.8,1523.0
1494.84,26403.28,2138.5,7691.0,994.8,1523.0
1494.84,26403.28,2138.5,7691.0,994.8,1555.9
1472.28,26118.02,2126.9,7609.5103,994.8,1549.6
1484.76,26355.47,2149.8,7719.25,994.8,1554.0
1510.7499,26728.15,2174.3,7862.54,994.8,1519.0
1505.17,26797.46,2178.9,7852.54,994.8,1509.0
1505.17,26797.46,2178.9,7852.54,994.8,1509.0
1505.17,26797.46,2178.9,7852.54,994.8,1509.0
1524.23,26835.512,2178.4,7832.4004,994.8,1504.5
1541.61,26909.43,2179.4,7814.74,994.8,1492.7
1575.7098,27137.041,2194.4,7887.58,994.8,1496.6
1575.07,27182.447,2201.8,7917.34,994.8,1500.8
1578.14,27219.52,2205.8,7892.95,994.8,1492.9
1578.14,27219.52,2205.8,7892.95,994.8,1492.9
1578.14,27219.52,2205.8,7892.95,994.8,1492.9
1584.5999,27076.82,2195.9,7852.4106,994.8,1504.8
1578.2899,27110.799,2201.8,7888.7905,994.8,1506.9
1568.34,27147.078,2201.0,7888.56,994.8,1509.1
1561.47,27094.79,2204.7,7901.79,994.8,1499.5
1559.76,26935.07,2197.6,7823.55,994.8,1508.0
1559.76,26935.07,2197.6,7823.55,994.8,1508.0
1559.76,26935.07,2197.6,7823.55,994.8,1508.0
1558.2501,26949.99,2193.7,7818.6104,994.8,1524.0
1533.5898,26807.768,2182.1,7710.0396,994.8,1532.6
1550.65,26970.709,2184.6,7803.54,994.8,1505.1
1533.33,26891.12,2183.5,7771.9907,994.8,1507.9
1520.48,26820.25,2175.5,7681.58,994.8,1502.7
1520.48,26820.25,2175.5,7681.58,994.8,1502.7
1520.48,26820.25,2175.5,7681.58,994.8,1502.7
1523.37,26916.83,2180.0,7749.4497,994.8,1469.2
1493.43,26573.037,2158.5,7684.14,994.8,1485.2
1479.63,26078.621,2121.5,7550.79,994.8,1504.1
1486.35,26201.04,2131.4,7638.3906,994.8,1510.1
1500.7,26573.72,2153.8,7754.1006,994.8,1509.2
1500.7,26573.72,2153.8,7754.1006,994.8,1509.2
1500.7,26573.72,2153.8,7754.1006,994.8,1509.2
1497.79,26478.02,2151.8,7725.13,994.8,1500.7
1472.6,26164.04,2124.2,7604.27,994.8,1500.1
1479.46,26346.008,2137.6,7690.53,994.8,1508.9
1485.36,26496.668,2150.2,7740.36,994.8,1497.0
1511.9,26816.59,2179.3,7843.8794,994.8,1484.7
1511.9,26816.59,2179.3,7843.8794,994.8,1484.7
1511.9,26816.59,2179.3,7843.8794,994.8,1484.7
1505.4299,26787.36,2175.3,7842.33,994.8,1493.8
1523.3,27024.8,2196.6,7942.85,994.8,1479.7
1525.06,27001.98,2195.4,7920.21,994.8,1490.2
1541.84,27025.88,2201.9,7942.14,994.8,1494.2
1535.48,26770.201,2195.3,7868.49,994.8,1490.0
1535.48,26770.201,2195.3,7868.49,994.8,1490.0
1535.48,26770.201,2195.3,7868.49,994.8,1490.0
1552.41,26827.64,2209.3,7940.33,994.8,1484.2
1550.87,26788.1,2204.3,7874.6206,994.8,1483.6
1552.86,26833.95,2208.3,7889.47,994.8,1491.8
1548.4899,26805.53,2215.6,7966.7207,994.8,1501.0
1558.71,26958.06,2222.8,8029.22,994.8,1501.7
1558.71,26958.06,2222.8,8029.22,994.8,1501.7
1558.71,26958.06,2222.8,8029.22,994.8,1501.7
1571.9299,27090.723,2231.4,8110.6704,994.8,1492.4
1577.0701,27071.46,2232.5,8047.5103,994.8,1487.4
1572.85,27186.69,2237.3,8083.1104,994.8,1496.7
1562.45,27046.229,2233.5,8083.8306,994.8,1514.8
1589.33,27347.357,2252.1,8161.17,994.8,1511.4
1589.33,27347.357,2252.1,8161.17,994.8,1511.4
1589.33,27347.357,2252.1,8161.17,994.8,1511.4
1597.4,27462.11,2261.5,8210.66,994.8,1511.1
1599.61,27492.633,2259.3,8210.18,994.8,1483.7
1589.5402,27492.56,2261.4,8196.03,994.8,1493.1
1593.99,27674.8,2266.7,8219.65,994.8,1466.4
1598.86,27681.24,2268.8,8255.89,994.8,1462.9
1598.86,27681.24,2268.8,8255.89,994.8,1462.9
1598.86,27681.24,2268.8,8255.89,994.8,1462.9
1594.7701,27691.49,2266.4,8241.91,994.8,1457.1
1595.12,27691.49,2270.0,8263.79,994.8,1453.7
1589.1802,27783.59,2268.3,8259.81,994.8,1463.3
1588.79,27781.963,2265.3,8257.83,994.8,1473.4
1596.45,28004.89,2282.8,8315.52,994.8,1468.5
1596.45,28004.89,2282.8,8315.52,994.8,1468.5
1596.45,28004.89,2282.8,8315.52,994.8,1468.5
1592.34,28036.22,2285.8,8328.48,994.8,1471.9
1598.2899,27934.02,2284.9,8338.74,994.8,1474.3
1591.6101,27821.09,2274.9,8283.75,994.8,1474.2
1583.96,27766.29,2270.4,8265.62,994.8,1463.6
1588.9401,27875.62,2273.9,8272.05,994.8,1463.6
1588.9401,27875.62,2273.9,8272.05,994.8,1463.6
1588.9401,27875.62,2273.9,8272.05,994.8,1463.6
1621.8999,28066.47,2290.7,8371.93,994.8,1456.9
1624.23,28121.678,2294.8,8385.75,994.8,1460.3
1634.1,28164.0,2302.7,8444.71,994.8,1457.9
1634.1,28164.0,2302.7,8444.71,994.8,1472.7
1624.5,28051.408,2292.3,8403.68,994.8,1470.0
1624.5,28051.408,2292.3,8403.68,994.8,1470.0
1624.5,28051.408,2292.3,8403.68,994.8,1470.0
1607.5798,27783.04,2276.4,8309.26,994.8,1466.4
1602.6301,27502.81,2263.1,8254.74,994.8,1481.6
1613.9,27649.78,2275.5,8296.53,994.8,1477.5
1614.83,27677.79,2278.6,8308.4,994.8,1480.3
1633.84,28015.06,2296.4,8397.37,994.8,1462.5
1633.84,28015.06,2296.4,8397.37,994.8,1462.5
1633.84,28015.06,2296.4,8397.37,994.8,1462.5
1629.6201,27909.6,2292.6,8362.74,994.8,1462.8
1631.71,27881.72,2289.7,8354.29,994.8,1465.9
1631.9302,27911.3,2295.0,8402.61,994.8,1472.7
1644.81,28132.053,2309.4,8466.89,994.8,1469.8
1637.98,28135.379,2319.7,8487.71,994.8,1478.6
1637.98,28135.379,2319.7,8487.71,994.8,1478.6
1637.98,28135.379,2319.7,8487.71,994.8,1478.6
1649.94,28235.889,2337.5,8570.33,994.8,1477.9
1657.56,28267.16,2336.6,8575.7,994.8,1477.0
1661.73,28239.281,2333.3,8580.62,994.8,1474.7
1667.0901,28376.96,2340.7,8641.29,994.8,1480.2
1671.9,28455.09,2349.9,8678.49,994.8,1477.0
1671.9,28455.09,2349.9,8678.49,994.8,1477.0
1671.9,28455.09,2349.9,8678.49,994.8,1477.0
1674.1401,28551.53,2350.8,8696.01,994.8,1484.3
1678.0099,28515.45,2351.8,8699.51,994.8,1500.6
1678.0099,28515.45,2351.8,8699.51,994.8,1500.6
1677.67,28621.39,2360.2,8778.31,994.8,1510.7
1669.0299,28645.26,2364.9,8770.98,994.8,1514.3
1669.0299,28645.26,2364.9,8770.98,994.8,1514.3
1669.0299,28645.26,2364.9,8770.98,994.8,1514.3
1664.15,28462.14,2353.3,8709.73,994.8,1518.6
1668.47,28538.44,2358.5,8733.07,994.8,1523.1
1668.47,28538.44,2358.5,8733.07,994.8,1523.1
1666.7699,28868.8,2375.9,8872.22,994.8,1528.1
1660.87,28634.88,2363.1,8793.9,994.8,1552.4
1660.87,28634.88,2363.1,8793.9,994.8,1552.4
1660.87,28634.88,2363.1,8793.9,994.8,1552.4
1663.2601,28703.38,2364.5,8848.52,994.8,1568.8
1658.31,28583.68,2362.4,8846.45,994.8,1574.3
1663.59,28745.088,2366.9,8912.37,994.8,1560.2
1664.99,28956.9,2379.9,8989.63,994.8,1554.3
1657.64,28823.77,2377.6,8966.64,994.8,1560.1
1657.64,28823.77,2377.6,8966.64,994.8,1560.1
1657.64,28823.77,2377.6,8966.64,994.8,1560.1
1669.6099,28907.053,2388.3,9070.65,994.8,1550.6
1675.74,28939.668,2388.5,9033.42,994.8,1544.6
1682.4001,29030.223,2392.1,9035.67,994.8,1554.0
1705.22,29297.64,2406.2,9125.0,994.8,1550.5
1699.6399,29348.1,2415.5,9173.73,994.8,1560.3
1699.6399,29348.1,2415.5,9173.73,994.8,1560.3
1699.6399,29348.1,2415.5,9173.73,994.8,1560.3
